t,X,Y,Z
0.0,970061.6227529575,5624250.967482469,2847045.047559735
5.0,970048.5768641311,5624255.721289291,2847040.10159122
10.0,970035.9345194655,5624261.253590906,2847033.480150347
15.0,970024.1792250281,5624267.397971568,2847025.3472410366
20.0,970013.7076574449,5624273.928100939,2847016.014819847
25.0,970004.7908347913,5624280.579888772,2847005.912260029
30.0,969997.5475871771,5624287.0773357265,2846995.5443219817
35.0,969991.9329240004,5624293.159549881,2846985.4417440887
40.0,969987.7424368545,5624298.606284364,2846976.109290349
45.0,969984.6323074495,5624303.259496276,2846967.976340257
50.0,969982.1529623299,5624307.038816578,2846961.354857643
55.0,969979.7930801677,5624309.949416664,2846956.4088529483
60.0,969977.0296438242,5624312.081501677,2846953.138328346
65.0,969973.3791374961,5624313.6014802,2846951.3792773853
70.0,969968.4448771138,5624314.735674818,2846950.819739213
75.0,969961.9558407137,5624315.748168102,2846951.030335775
80.0,969953.7931976983,5624316.914952638,2846951.5063026706
85.0,969944.0019402265,5624318.496915406,2846951.71689922
