t,X,Y,Z
10420.0,953970.579948179,5632212.927445063,2836723.756821247
10425.0,953961.6313661328,5632219.535942456,2836713.6451939284
10430.0,953954.3582180138,5632225.994403752,2836703.2679502335
10435.0,953948.7164569102,5632232.042746741,2836693.156304905
10440.0,953944.5023437729,5632237.461033616,2836683.815474981
10445.0,953941.372389821,5632242.090999637,2836675.6752253263
10450.0,953938.8769790075,5632245.851544733,2836669.047799756
10455.0,953936.504379483,5632248.746671641,2836664.0973559013
10460.0,953933.7308358428,5632250.865093607,2836660.823895929
10465.0,953930.0718385364,5632252.37155012,2836659.0632661823
10470.0,953925.1295515422,5632253.490680863,2836658.5032258127
10475.0,953918.6317554981,5632254.485036429,2836658.7140113898
10480.0,953910.4584941727,5632255.629378303,2836659.190405475
10485.0,953900.653816041,5632257.183783765,2836659.4011910395
10490.0,953889.4214618659,5632259.368188294,2836658.841150686
10495.0,953877.1049207266,5632262.3408573745,2836657.080520636
10500.0,953864.15380699,5632266.182894914,2836653.807058667
10505.0,953851.0798495441,5632270.890304633,2836648.8566082544
10510.0,953838.4068012419,5632276.374381499,2836642.229167233
10515.0,953826.6191714689,5632282.470394894,2836634.088888151
10520.0,953816.1147998857,5632288.953713558,2836624.748010265
10525.0,953807.1659134732,5632295.561793955,2836614.636295919
10530.0,953799.8924787835,5632302.0198797,2836604.25896291
10535.0,953794.2504579535,5632308.067896386,2836594.1472305544
10540.0,953790.0361183551,5632313.485909189,2836584.8063202375
10545.0,953786.9059743736,5632318.115651245,2836576.6660005227
10550.0,953784.4104095603,5632321.876015448,2836570.038517913
10555.0,953782.0376881387,5632324.770993287,2836565.0880314526
10560.0,953779.2640476335,5632326.88928364,2836561.814543307
10565.0,953775.6049689753,5632328.395609929,2836560.053898407
10570.0,953770.6626051032,5632329.514595626,2836559.4938532175
10575.0,953764.1647251791,5632330.508776564,2836559.7046406087
10580.0,953755.9913621803,5632331.6529023675,2836560.1810387946
10585.0,953746.1865555329,5632333.207042506,2836560.391826173
10590.0,953734.9540395788,5632335.391129479,2836559.831781
10595.0,953722.6373002317,5632338.363430899,2836558.0711357966
10600.0,953709.6859522593,5632342.205057703,2836554.7976456545
10605.0,953696.6117284771,5632346.91202486,2836549.8471526355
10610.0,953683.938388808,5632352.395641707,2836543.219654576
10615.0,953672.1504521574,5632358.491193691,2836535.079305435
10620.0,953661.6457692237,5632364.974065766,2836525.738347158
10625.0,953652.6965784645,5632371.581729156,2836515.6265457864
10630.0,953645.4228572217,5632378.039439335,2836505.249123467
10635.0,953639.780576681,5632384.0871297065,2836495.137304087
10640.0,953635.5660106356,5632389.50486843,2836485.7963133794
10645.0,953632.4356766351,5632394.13438651,2836477.6559236078
10650.0,953629.9399578313,5632397.894569812,2836471.0283839605
10655.0,953627.5671145199,5632400.789398577,2836466.0778548955
10660.0,953624.7933771565,5632402.907557315,2836462.8043385777
10665.0,953621.1342171518,5632404.413753376,2836461.043678526
10670.0,953616.1917764076,5632405.532594022,2836460.4836285166
10675.0,953609.6938126097,5632406.526600326,2836460.6944177216
10680.0,953601.5203479456,5632407.670510052,2836461.170820007
10685.0,953591.7154127927,5632409.224384866,2836461.3816091996
10690.0,953580.4827350721,5632411.408154274,2836460.8215592066
10695.0,953568.1657975318,5632414.380088022,2836459.060898851
10700.0,953555.2142153403,5632418.221304078,2836455.787380537
10705.0,953542.1397252403,5632422.927828661,2836450.8368449137
10710.0,953529.4660942242,5632428.410985473,2836444.209289817
10715.0,953517.6778507162,5632434.506076032,2836436.0688706203
10720.0,953507.1728564525,5632440.988501505,2836426.727831954
10725.0,953498.2233613657,5632447.595747873,2836416.615943561
10730.0,953490.9493535877,5632454.0530824745,2836406.2384319343
10735.0,953485.3068133523,5632460.1004465185,2836396.126525533
10740.0,953481.0920208732,5632465.51791115,2836386.7854544376
10745.0,953477.9614968656,5632470.147205249,2836378.6449946114
10750.0,953475.4656240802,5632473.9072076455,2836372.0173979285
10755.0,953473.0926588861,5632476.801887327,2836367.06682626
10760.0,953470.3188246704,5632478.919914448,2836363.7932817717
10765.0,953466.6595833251,5632480.425980276,2836362.0326065677
10770.0,953461.7170657142,5632481.544675866,2836361.4725517384
10775.0,953455.2190180494,5632482.538507534,2836361.683342758
10780.0,953447.0454517283,5632483.682201179,2836362.159749143
10785.0,953437.24038808,5632485.235810656,2836362.3705401495
10790.0,953426.007548605,5632487.419262494,2836361.810485337
10795.0,953413.6904128863,5632490.39082856,2836360.04980983
10800.0,953400.7385964924,5632494.231633857,2836356.7762633446
10805.0,953387.6638400936,5632498.9377158545,2836351.8256851183
10810.0,953374.98991775,5632504.420412615,2836345.1980729867
10815.0,953363.201367405,5632510.515041737,2836337.0575837363
10820.0,953352.6960618314,5632516.997020592,2836327.716464685
10825.0,953343.7462624366,5632523.603849924,2836317.6044892725
10830.0,953336.4719681412,5632530.060808935,2836307.226888341
10835.0,953330.8291682265,5632536.107846638,2836297.1148949214
10840.0,953326.6141493274,5632541.52503717,2836287.773743442
10845.0,953323.4834353238,5632546.154107277,2836279.633213563
10850.0,953320.9874085659,5632549.913928759,2836273.005559847
10855.0,953318.6143214967,5632552.8084593555,2836268.054945577
10860.0,953315.840390435,5632554.926354852,2836264.781372918
10865.0,953312.1810677543,5632556.432290445,2836263.020682563
10870.0,953307.2384732829,5632557.550840977,2836262.460622914
10875.0,953300.7403417575,5632558.544498003,2836262.6714157476
10880.0,953292.5666737874,5632559.687975558,2836263.147826232
10885.0,953282.7614816541,5632561.241319696,2836263.358619053
10890.0,953271.5284804369,5632563.424453954,2836262.7985594207
10895.0,953259.2111465542,5632566.395652329,2836261.0378687624
10900.0,953246.2590959753,5632570.236046855,2836257.7642941065
10905.0,953233.1840732957,5632574.941686253,2836252.8136732792
10910.0,953220.5098596446,5632580.423922949,2836246.186004115
10915.0,953208.7210024829,5632586.518090619,2836238.045444813
10920.0,953198.2153856197,5632592.999622842,2836228.7042453783
10925.0,953189.2652819359,5632599.606035125,2836218.59218295
10930.0,953181.990701141,5632606.062618533,2836208.2144927178
10935.0,953176.3476415633,5632612.109329885,2836198.1024122825
10940.0,953172.1323962575,5632617.526246304,2836188.7611804213
10945.0,953169.0014922691,5632622.155092411,2836180.620580492
10950.0,953166.505311548,5632625.914732973,2836173.992869745
10955.0,953164.1321026111,5632628.809114478,2836169.042212875
10960.0,953161.3580747093,5632630.926878346,2836165.7686120467
10965.0,953157.6986706988,5632632.432683699,2836164.0079065408
10970.0,953152.7559993726,5632633.551089168,2836163.4478420727
10975.0,953146.2577839935,5632634.544571549,2836163.65863672
10980.0,953138.0840143824,5632635.687833013,2836164.1350513045
10985.0,953128.2786937738,5632637.240911802,2836164.345845939
10990.0,953117.045530827,5632639.423728472,2836163.7857814874
10995.0,953104.7279987951,5632642.394559144,2836162.0250756782
11000.0,953091.7757140476,5632646.234542889,2836158.7514728536
11005.0,953078.7004251062,5632650.939739674,2836153.8008094262
11010.0,953066.0259201673,5632656.421516293,2836147.173083231
11015.0,953054.2367562095,5632662.515222495,2836139.0324538797
11020.0,953043.730828077,5632668.996308074,2836129.691174065
11025.0,953034.7804201235,5632675.602303293,2836119.579024624
11030.0,953027.5055528466,5632682.058511081,2836109.2012450933
11035.0,953021.8622336215,5632688.104896073,2836099.089077646
11040.0,953017.6467619232,5632693.52153837,2836089.747765406
11045.0,953014.5156679612,5632698.150160469,2836081.607095429
11050.0,953012.0193332859,5632701.9096201025,2836074.979327653
11055.0,953009.6460024886,5632704.80385251,2836070.028628184
11060.0,953006.8718777528,5632706.921484746,2836066.7549991873
11065.0,953003.2123924184,5632708.427159855,2836064.994278531
11070.0,952998.2696442426,5632709.545420256,2836064.4342092443
11075.0,952991.7713450164,5632710.5387279885,2836064.6450057053
11080.0,952983.5974737727,5632711.681773354,2836065.121424389
11085.0,952973.7920246992,5632713.234586791,2836065.3322208375
11090.0,952962.5587000349,5632715.417085863,2836064.7721515666
11095.0,952950.2409698686,5632718.387548825,2836063.0114306067
11100.0,952937.2884509689,5632722.227121775,2836059.7377996147
11105.0,952924.2128957844,5632726.931875936,2836054.7870935886
11110.0,952911.5380995778,5632732.413192463,2836048.159310364
11115.0,952899.7486288439,5632738.506437183,2836040.018610967
11120.0,952889.2423894622,5632744.987076102,2836030.677250775
11125.0,952880.2916772583,5632751.592654242,2836020.565014324
11130.0,952873.0165235174,5632758.048486401,2836010.187145498
11135.0,952867.3729446612,5632764.094545018,2836000.0748910415
11140.0,952863.1572465834,5632769.510913183,2835990.733498425
11145.0,952860.025962659,5632774.139311264,2835982.5927584036
11150.0,952857.5294740389,5632777.898589964,2835975.9649336
11155.0,952855.1560213882,5632780.792673269,2835971.014191534
11160.0,952852.3817998245,5632782.910173867,2835967.74053437
11165.0,952848.7222331717,5632784.415718729,2835965.979798564
11170.0,952843.7794081526,5632785.533834061,2835965.4197244584
11175.0,952837.281025086,5632786.526967139,2835965.630522733
11180.0,952829.1070522174,5632787.669796401,2835966.106945516
11185.0,952819.3014746888,5632789.222344476,2835966.317743778
11190.0,952808.0679883197,5632791.404525944,2835965.757669688
11195.0,952795.7500600334,5632794.374621184,2835963.996933579
11200.0,952782.7973069991,5632798.21378333,2835960.723274419
11205.0,952769.7214855897,5632802.918094853,2835955.772525796
11210.0,952757.0463981348,5632808.398951274,2835949.1446855455
11215.0,952745.2566206456,5632814.491734499,2835941.003916104
11220.0,952734.7500700346,5632820.971926742,2835931.6624755375
11225.0,952725.7990535999,5632827.577087791,2835921.5501520797
11230.0,952718.523613413,5632834.0325443065,2835911.1721939617
11235.0,952712.8797749408,5632840.0782765355,2835901.0598524995
