t,X,Y,Z,p
0.0,970061.6227529576,5624250.967482469,2847045.047559735,20569421.965075985
5.0,970048.5768641313,5624255.721289291,2847040.10159122,20567640.740601167
10.0,970035.9345194657,5624261.253590906,2847033.4801503466,20565861.7221029
15.0,970024.179225028,5624267.397971568,2847025.347241037,20564086.66510836
20.0,970013.7076574449,5624273.928100939,2847016.014819847,20562315.513657734
25.0,970004.7908347913,5624280.579888772,2847005.9122600285,20560547.40854083
30.0,969997.5475871771,5624287.077335727,2846995.5443219817,20558784.50604069
35.0,969991.9329240004,5624293.159549882,2846985.4417440887,20557024.418042254
40.0,969987.7424368544,5624298.606284364,2846976.109290349,20555269.76775273
45.0,969984.6323074496,5624303.259496276,2846967.976340257,20553519.647008915
50.0,969982.15296233,5624307.038816578,2846961.354857643,20551773.726154216
55.0,969979.7930801676,5624309.9494166635,2846956.4088529483,20550033.6478832
60.0,969977.0296438242,5624312.081501677,2846953.1383283464,20548296.670279443
65.0,969973.3791374959,5624313.6014802,2846951.379277385,20546565.63308144
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20544838.472924337
75.0,969961.9558407136,5624315.7481681015,2846951.030335775,20543116.14556727
80.0,969953.7931976984,5624316.914952639,2846951.5063026706,20541397.504616562
85.0,969944.0019402264,5624318.496915407,2846951.71689922,20539681.74962768
90.0,969932.7864784205,5624320.714300946,2846951.1573610636,20537970.48200684
95.0,969920.4906308701,5624323.725152904,2846949.3983097994,20536262.439687304
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20534558.068070926
105.0,969894.5178122438,5624332.363209778,2846941.1817719163,20532857.15983595
110.0,969881.8751741344,5624337.8950528335,2846934.560273795,20531159.403798632
115.0,969870.1195706854,5624344.038973613,2846926.4272941686,20529464.304903895
120.0,969859.6476896356,5624350.568657926,2846917.094792294,20527773.57992167
125.0,969850.7305606108,5624357.220030231,2846906.992145132,20526086.872679226
130.0,969843.4870245769,5624363.717103002,2846896.624117446,20524404.33257046
135.0,969837.8721000295,5624369.798992082,2846886.5214522113,20522726.57920247
140.0,969833.6813850128,5624375.245453557,2846877.1889177863,20521052.016713303
145.0,969830.5710644084,5624379.898442392,2846869.05589738,20519382.56331601
150.0,969828.0915643424,5624383.677582517,2846862.43435752,20517717.951825768
155.0,969825.7315595208,5624386.588034108,2846857.488310065,20516057.968664907
160.0,969822.9680256771,5624388.719987976,2846854.217757187,20514402.83776441
165.0,969819.3174374187,5624390.239836682,2846852.458691018,20512752.355816383
170.0,969814.3830995624,5624391.373886653,2846851.899148009,20511106.301079553
175.0,969807.8939785948,5624392.38620576,2846852.109746392,20509464.66617438
180.0,969799.7312330632,5624393.552774772,2846852.5857174015,20507826.68520394
185.0,969789.939846028,5624395.134472908,2846852.796315772,20506192.734428395
190.0,969778.7242211606,5624397.3515417455,2846852.236772778,20504562.033359878
195.0,969766.4281738804,5624400.362027071,2846850.4777063057,20502935.14886573
200.0,969753.501276383,5624404.24630879,2846847.2071514237,20501312.425852664
205.0,969740.4548510064,5624408.999233189,2846842.2610973865,20499692.25987478
210.0,969727.8119194737,5624414.530617677,2846835.63954202,20498076.368756715
215.0,969716.0560070329,5624420.674078554,2846827.506492081,20496462.65358943
220.0,969705.5838125369,5624427.203317796,2846818.1739095226,20494852.71611062
225.0,969696.6663771605,5624433.85427456,2846808.07117502,20493247.62474103
230.0,969689.422552724,5624440.350973132,2846797.703057701,20491647.405796662
235.0,969683.807366822,5624446.432537124,2846787.6003051237,20490050.42733481
240.0,969679.6164239476,5624451.878725582,2846778.2676900183,20488458.38741286
245.0,969676.5059121551,5624456.531491329,2846770.1345992996,20486870.568440586
250.0,969674.0262571523,5624460.310451274,2846763.5130021963,20485287.07878719
255.0,969671.666129678,5624463.220754362,2846758.5669119814,20483709.51885942
260.0,969668.9024983405,5624465.352577082,2846755.2963308287,20482136.147660904
265.0,969665.2518281577,5624466.872295965,2846753.537249453,20480566.983739
270.0,969660.317412833,5624468.006201287,2846752.977701606,20479003.06412323
275.0,969653.8282073046,5624469.018346212,2846753.1883018096,20477442.726591893
280.0,969645.6653592648,5624470.1846996965,2846753.6642769338,20475886.721315023
285.0,969635.8738426759,5624471.766133191,2846753.874877125,20474334.11579824
290.0,969624.6580547598,5624473.982885322,2846753.315329295,20472785.103718083
295.0,969612.3618077636,5624476.993004004,2846751.556247615,20471240.955550205
300.0,969599.4346743015,5624480.876876172,2846748.2856644588,20469699.745118413
305.0,969586.3879806777,5624485.62935934,2846743.3395676618,20468161.24392584
310.0,969573.7447557412,5624491.160285242,2846736.7179550524,20466627.50597484
315.0,969561.9885343292,5624497.303286206,2846728.584834803,20465096.677176997
320.0,969551.5160264069,5624503.832080361,2846719.252171564,20463569.5683026
325.0,969542.5982846981,5624510.482621571,2846709.149349724,20462046.437129855
330.0,969535.3541718771,5624516.978945931,2846698.7811427717,20460527.683727227
335.0,969529.7387246359,5624523.060184823,2846688.678302858,20459012.870710623
340.0,969525.547553918,5624528.506100254,2846679.345607073,20457502.39709391
345.0,969522.4368509486,5624533.158642907,2846671.212446047,20455997.624699082
350.0,969519.9570410174,5624536.937422663,2846664.5907917004,20454496.94168961
355.0,969517.596790898,5624539.847577244,2846659.644658728,20453001.14916832
360.0,969514.8330620729,5624541.97926881,2846656.3740493017,20451510.409514297
365.0,969511.1823099707,5624543.498857868,2846654.6149527193,20450023.937342223
370.0,969506.2478171837,5624544.632618535,2846654.055400036,20448541.56340089
375.0,969499.7585271009,5624545.644589274,2846654.2660020594,20447064.773212735
380.0,969491.5955765608,5624546.810727227,2846654.7419812987,20445590.674500782
385.0,969481.8039304287,5624548.391896074,2846654.95258331,20444120.49333522
390.0,969470.5879794762,5624550.608331485,2846654.3930306425,20442654.691343922
395.0,969458.2915327791,5624553.618083515,2846652.633933756,20441192.744584877
400.0,969445.364163369,5624557.501546121,2846649.3633223264,20439733.789326
405.0,969432.3172015159,5624562.253588047,2846644.417182772,20438279.07094179
410.0,969419.6736831956,5624567.7840553485,2846637.79551292,20436827.477582954
415.0,969407.9171528326,5624573.926596385,2846629.6623223634,20435379.21367355
420.0,969397.4443315044,5624580.454945439,2846620.3295784467,20433934.708645757
425.0,969388.5262834823,5624587.105071078,2846610.226669272,20432494.870136667
430.0,969381.2818822946,5624593.601021215,2846599.858372692,20431058.9110579
435.0,969375.6661737302,5624599.681934998,2846589.7554454445,20429627.411681958
440.0,969371.4747751821,5624605.12757739,2846580.4226689823,20428200.885923177
445.0,969368.3638810464,5624609.779896938,2846572.2894376493,20426778.6777297
450.0,969365.8839161964,5624613.5584964985,2846565.6677260627,20425361.355292708
455.0,969363.5235434396,5624616.468502567,2846560.721550334,20423948.723134436
460.0,969360.7597171323,5624618.600062975,2846557.4509126362,20422540.380527273
465.0,969357.108883117,5624620.119522204,2846555.6918008467,20421137.192505088
