t,X,Y,Z,p
0.0,970061.6227529576,5624250.967482469,2847045.047559735,20649910.94764892
5.0,970048.5768641313,5624255.721289291,2847040.10159122,20648072.83052975
10.0,970035.9345194657,5624261.253590906,2847033.4801503466,20646237.62748756
15.0,970024.179225028,5624267.397971568,2847025.347241037,20644405.78369235
20.0,970013.7076574449,5624273.928100939,2847016.014819847,20642576.343218435
25.0,970004.7908347913,5624280.579888772,2847005.9122600285,20640751.251715254
30.0,969997.5475871771,5624287.077335727,2846995.5443219817,20638929.29502754
35.0,969991.9329240004,5624293.159549882,2846985.4417440887,20637111.243230727
40.0,969987.7424368544,5624298.606284364,2846976.109290349,20635296.897789713
45.0,969984.6323074496,5624303.259496276,2846967.976340257,20633487.47123869
50.0,969982.15296233,5624307.038816578,2846961.354857643,20631681.842042983
55.0,969979.7930801676,5624309.9494166635,2846956.4088529483,20629881.032274082
60.0,969977.0296438242,5624312.081501677,2846953.1383283464,20628085.05284038
65.0,969973.3791374959,5624313.6014802,2846951.379277385,20626293.87375247
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20624507.40513962
75.0,969961.9558407136,5624315.7481681015,2846951.030335775,20622724.36793869
80.0,969953.7931976984,5624316.914952639,2846951.5063026706,20620947.315711465
85.0,969944.0019402264,5624318.496915407,2846951.71689922,20619173.26113895
90.0,969932.7864784205,5624320.714300946,2846951.1573610636,20617403.047317676
95.0,969920.4906308701,5624323.725152904,2846949.3983097994,20615637.68846108
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20613875.528142367
105.0,969894.5178122438,5624332.363209778,2846941.1817719163,20612116.368284475
110.0,969881.8751741344,5624337.8950528335,2846934.560273795,20610360.15235881
115.0,969870.1195706854,5624344.038973613,2846926.4272941686,20608607.76460203
120.0,969859.6476896356,5624350.568657926,2846917.094792294,20606857.911695372
125.0,969850.7305606108,5624357.220030231,2846906.992145132,20605111.69329479
130.0,969843.4870245769,5624363.717103002,2846896.624117446,20603369.570359398
135.0,969837.8721000295,5624369.798992082,2846886.5214522113,20601631.303935695
140.0,969833.6813850128,5624375.245453557,2846877.1889177863,20599895.848860238
145.0,969830.5710644084,5624379.898442392,2846869.05589738,20598166.129802976
150.0,969828.0915643424,5624383.677582517,2846862.43435752,20596439.87419805
155.0,969825.7315595208,5624386.588034108,2846857.488310065,20594718.739900805
160.0,969822.9680256771,5624388.719987976,2846854.217757187,20593002.20283536
165.0,969819.3174374187,5624390.239836682,2846852.458691018,20591290.634047516
170.0,969814.3830995624,5624391.373886653,2846851.899148009,20589583.4368615
175.0,969807.8939785948,5624392.38620576,2846852.109746392,20587880.705873698
180.0,969799.7312330632,5624393.552774772,2846852.5857174015,20586183.081499916
185.0,969789.939846028,5624395.134472908,2846852.796315772,20584489.227673434
190.0,969778.7242211606,5624397.3515417455,2846852.236772778,20582799.462970342
195.0,969766.4281738804,5624400.362027071,2846850.4777063057,20581112.88501849
200.0,969753.501276383,5624404.24630879,2846847.2071514237,20579431.01448737
205.0,969740.4548510064,5624408.999233189,2846842.2610973865,20577751.445894103
210.0,969727.8119194737,5624414.530617677,2846835.63954202,20576075.16758922
215.0,969716.0560070329,5624420.674078554,2846827.506492081,20574402.661960714
220.0,969705.5838125369,5624427.203317796,2846818.1739095226,20572733.81361441
225.0,969696.6663771605,5624433.85427456,2846808.07117502,20571067.23014323
230.0,969689.422552724,5624440.350973132,2846797.703057701,20569405.697750803
235.0,969683.807366822,5624446.432537124,2846787.6003051237,20567747.33150323
240.0,969679.6164239476,5624451.878725582,2846778.2676900183,20566092.534874037
