t,X,Y,Z,p
0.0,970061.6227529576,5624250.967482469,2847045.047559735,20562577.070710015
5.0,970048.5768641313,5624255.721289291,2847040.10159122,20560781.890964773
10.0,970035.9345194657,5624261.253590906,2847033.4801503466,20558989.94980014
15.0,970024.179225028,5624267.397971568,2847025.347241037,20557201.224817622
20.0,970013.7076574449,5624273.928100939,2847016.014819847,20555415.808896903
25.0,970004.7908347913,5624280.579888772,2847005.9122600285,20553633.703994196
30.0,969997.5475871771,5624287.077335727,2846995.5443219817,20551857.36160928
35.0,969991.9329240004,5624293.159549882,2846985.4417440887,20550083.885970883
40.0,969987.7424368544,5624298.606284364,2846976.109290349,20548314.548767176
45.0,969984.6323074496,5624303.259496276,2846967.976340257,20546550.134580147
50.0,969982.15296233,5624307.038816578,2846961.354857643,20544790.850879554
55.0,969979.7930801676,5624309.9494166635,2846956.4088529483,20543035.739846483
60.0,969977.0296438242,5624312.081501677,2846953.1383283464,20541285.64264073
65.0,969973.3791374959,5624313.6014802,2846951.379277385,20539540.573710784
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20537799.63448973
75.0,969961.9558407136,5624315.7481681015,2846951.030335775,20536062.783217542
80.0,969953.7931976984,5624316.914952639,2846951.5063026706,20534330.21260069
85.0,969944.0019402264,5624318.496915407,2846951.71689922,20532600.89165755
90.0,969932.7864784205,5624320.714300946,2846951.1573610636,20530875.959355526
95.0,969920.4906308701,5624323.725152904,2846949.3983097994,20529154.160251226
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20527436.81671523
105.0,969894.5178122438,5624332.363209778,2846941.1817719163,20525721.990534786
110.0,969881.8751741344,5624337.8950528335,2846934.560273795,20524010.54255675
115.0,969870.1195706854,5624344.038973613,2846926.4272941686,20522302.994328633
120.0,969859.6476896356,5624350.568657926,2846917.094792294,20520598.363696333
125.0,969850.7305606108,5624357.220030231,2846906.992145132,20518898.076301366
130.0,969843.4870245769,5624363.717103002,2846896.624117446,20517201.27436437
135.0,969837.8721000295,5624369.798992082,2846886.5214522113,20515508.8864953
140.0,969833.6813850128,5624375.245453557,2846877.1889177863,20513820.491452627
145.0,969830.5710644084,5624379.898442392,2846869.05589738,20512136.59366632
150.0,969828.0915643424,5624383.677582517,2846862.43435752,20510458.187100675
155.0,969825.7315595208,5624386.588034108,2846857.488310065,20508784.44733496
160.0,969822.9680256771,5624388.719987976,2846854.217757187,20507115.71568784
165.0,969819.3174374187,5624390.239836682,2846852.458691018,20505450.67888378
170.0,969814.3830995624,5624391.373886653,2846851.899148009,20503790.73478464
175.0,969807.8939785948,5624392.38620576,2846852.109746392,20502135.15962991
180.0,969799.7312330632,5624393.552774772,2846852.5857174015,20500483.26763724
185.0,969789.939846028,5624395.134472908,2846852.796315772,20498835.61619989
190.0,969778.7242211606,5624397.3515417455,2846852.236772778,20497191.905430008
195.0,969766.4281738804,5624400.362027071,2846850.4777063057,20495551.739172094
200.0,969753.501276383,5624404.24630879,2846847.2071514237,20493915.23574252
205.0,969740.4548510064,5624408.999233189,2846842.2610973865,20492281.5751464
210.0,969727.8119194737,5624414.530617677,2846835.63954202,20490651.553312644
215.0,969716.0560070329,5624420.674078554,2846827.506492081,20489025.474762697
220.0,969705.5838125369,5624427.203317796,2846818.1739095226,20487402.715404622
225.0,969696.6663771605,5624433.85427456,2846808.07117502,20485783.411450494
230.0,969689.422552724,5624440.350973132,2846797.703057701,20484168.972738903
235.0,969683.807366822,5624446.432537124,2846787.6003051237,20482558.519238036
240.0,969679.6164239476,5624451.878725582,2846778.2676900183,20480951.656256422
245.0,969676.5059121551,5624456.531491329,2846770.1345992996,20479349.904164556
250.0,969674.0262571523,5624460.310451274,2846763.5130021963,20477753.195825353
255.0,969671.666129678,5624463.220754362,2846758.5669119814,20476160.39264032
260.0,969668.9024983405,5624465.352577082,2846755.2963308287,20474573.093479075
265.0,969665.2518281577,5624466.872295965,2846753.537249453,20472990.812849235
270.0,969660.317412833,5624468.006201287,2846752.977701606,20471412.34825723
275.0,969653.8282073046,5624469.018346212,2846753.1883018096,20469838.353214584
280.0,969645.6653592648,5624470.1846996965,2846753.6642769338,20468269.22966781
285.0,969635.8738426759,5624471.766133191,2846753.874877125,20466703.009506516
290.0,969624.6580547598,5624473.982885322,2846753.315329295,20465140.952361807
295.0,969612.3618077636,5624476.993004004,2846751.556247615,20463582.96979431
300.0,969599.4346743015,5624480.876876172,2846748.2856644588,20462027.67904895
305.0,969586.3879806777,5624485.62935934,2846743.3395676618,20460475.84936888
310.0,969573.7447557412,5624491.160285242,2846736.7179550524,20458929.49123049
315.0,969561.9885343292,5624497.303286206,2846728.584834803,20457384.716103047
320.0,969551.5160264069,5624503.832080361,2846719.252171564,20455843.676982224
325.0,969542.5982846981,5624510.482621571,2846709.149349724,20454307.087860085
330.0,969535.3541718771,5624516.978945931,2846698.7811427717,20452774.795619324
335.0,969529.7387246359,5624523.060184823,2846688.678302858,20451246.137996957
340.0,969525.547553918,5624528.506100254,2846679.345607073,20449722.492617123
345.0,969522.4368509486,5624533.158642907,2846671.212446047,20448203.740757164
350.0,969519.9570410174,5624536.937422663,2846664.5907917004,20446688.538600568
355.0,969517.596790898,5624539.847577244,2846659.644658728,20445180.010184187
360.0,969514.8330620729,5624541.97926881,2846656.3740493017,20443674.530988634
365.0,969511.1823099707,5624543.498857868,2846654.6149527193,20442173.986309838
370.0,969506.2478171837,5624544.632618535,2846654.055400036,20440677.637804464
375.0,969499.7585271009,5624545.644589274,2846654.2660020594,20439186.3827949
380.0,969491.5955765608,5624546.810727227,2846654.7419812987,20437699.460127905
385.0,969481.8039304287,5624548.391896074,2846654.95258331,20436215.683600605
390.0,969470.5879794762,5624550.608331485,2846654.3930306425,20434737.156742148
395.0,969458.2915327791,5624553.618083515,2846652.633933756,20433261.36519566
400.0,969445.364163369,5624557.501546121,2846649.3633223264,20431789.162560206
405.0,969432.3172015159,5624562.253588047,2846644.417182772,20430321.496317163
410.0,969419.6736831956,5624567.7840553485,2846637.79551292,20428855.925854906
415.0,969407.9171528326,5624573.926596385,2846629.6623223634,20427394.60243756
420.0,969397.4443315044,5624580.454945439,2846620.3295784467,20425937.020318035
425.0,969388.5262834823,5624587.105071078,2846610.226669272,20424483.461263154
430.0,969381.2818822946,5624593.601021215,2846599.858372692,20423033.82772984
