t,X,Y,Z,p
0.0,970061.6227529576,5624250.967482469,2847045.047559735,20895827.07185443
5.0,970048.5768641313,5624255.721289291,2847040.10159122,20893944.716209356
10.0,970035.9345194657,5624261.253590906,2847033.4801503466,20892065.182544645
15.0,970024.179225028,5624267.397971568,2847025.347241037,20890188.19380715
20.0,970013.7076574449,5624273.928100939,2847016.014819847,20888315.188068096
25.0,970004.7908347913,5624280.579888772,2847005.9122600285,20886444.713276684
30.0,969997.5475871771,5624287.077335727,2846995.5443219817,20884576.44715516
35.0,969991.9329240004,5624293.159549882,2846985.4417440887,20882711.796685375
40.0,969987.7424368544,5624298.606284364,2846976.109290349,20880850.77283028
45.0,969984.6323074496,5624303.259496276,2846967.976340257,20878993.691552054
50.0,969982.15296233,5624307.038816578,2846961.354857643,20877141.225682735
55.0,969979.7930801676,5624309.9494166635,2846956.4088529483,20875292.460218012
60.0,969977.0296438242,5624312.081501677,2846953.1383283464,20873448.849819217
65.0,969973.3791374959,5624313.6014802,2846951.379277385,20871609.114171296
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20869774.17931497
75.0,969961.9558407136,5624315.7481681015,2846951.030335775,20867944.957346108
80.0,969953.7931976984,5624316.914952639,2846951.5063026706,20866119.059504032
85.0,969944.0019402264,5624318.496915407,2846951.71689922,20864297.609657336
90.0,969932.7864784205,5624320.714300946,2846951.1573610636,20862481.227758735
95.0,969920.4906308701,5624323.725152904,2846949.3983097994,20860666.87111936
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20858857.45139179
105.0,969894.5178122438,5624332.363209778,2846941.1817719163,20857050.338059913
110.0,969881.8751741344,5624337.8950528335,2846934.560273795,20855246.613733247
115.0,969870.1195706854,5624344.038973613,2846926.4272941686,20853445.09923518
120.0,969859.6476896356,5624350.568657926,2846917.094792294,20851647.33280135
125.0,969850.7305606108,5624357.220030231,2846906.992145132,20849852.79027967
130.0,969843.4870245769,5624363.717103002,2846896.624117446,20848060.5959354
135.0,969837.8721000295,5624369.798992082,2846886.5214522113,20846271.935654268
140.0,969833.6813850128,5624375.245453557,2846877.1889177863,20844486.84488629
145.0,969830.5710644084,5624379.898442392,2846869.05589738,20842705.368725162
150.0,969828.0915643424,5624383.677582517,2846862.43435752,20840928.513915308
155.0,969825.7315595208,5624386.588034108,2846857.488310065,20839155.942914926
160.0,969822.9680256771,5624388.719987976,2846854.217757187,20837387.906247597
165.0,969819.3174374187,5624390.239836682,2846852.458691018,20835624.915785838
170.0,969814.3830995624,5624391.373886653,2846851.899148009,20833866.15792508
175.0,969807.8939785948,5624392.38620576,2846852.109746392,20832112.5869117
180.0,969799.7312330632,5624393.552774772,2846852.5857174015,20830362.055790275
185.0,969789.939846028,5624395.134472908,2846852.796315772,20828616.654028486
190.0,969778.7242211606,5624397.3515417455,2846852.236772778,20826875.927358836
195.0,969766.4281738804,5624400.362027071,2846850.4777063057,20825138.371221125
200.0,969753.501276383,5624404.24630879,2846847.2071514237,20823404.49339476
205.0,969740.4548510064,5624408.999233189,2846842.2610973865,20821674.408027675
