t,X,Y,Z,p
0.0,970061.6227529576,5624250.967482469,2847045.047559735,20714615.626050327
5.0,970048.5768641313,5624255.721289291,2847040.10159122,20712761.948233392
10.0,970035.9345194657,5624261.253590906,2847033.4801503466,20710911.776656434
15.0,970024.179225028,5624267.397971568,2847025.347241037,20709065.365828518
20.0,970013.7076574449,5624273.928100939,2847016.014819847,20707221.735674627
25.0,970004.7908347913,5624280.579888772,2847005.9122600285,20705380.380191818
30.0,969997.5475871771,5624287.077335727,2846995.5443219817,20703543.59038295
35.0,969991.9329240004,5624293.159549882,2846985.4417440887,20701710.117107607
40.0,969987.7424368544,5624298.606284364,2846976.109290349,20699880.191622797
45.0,969984.6323074496,5624303.259496276,2846967.976340257,20698054.708656114
50.0,969982.15296233,5624307.038816578,2846961.354857643,20696233.30000759
55.0,969979.7930801676,5624309.9494166635,2846956.4088529483,20694416.52313616
60.0,969977.0296438242,5624312.081501677,2846953.1383283464,20692604.1876377
65.0,969973.3791374959,5624313.6014802,2846951.379277385,20690797.069469016
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20688995.38369288
75.0,969961.9558407136,5624315.7481681015,2846951.030335775,20687197.120558027
80.0,969953.7931976984,5624316.914952639,2846951.5063026706,20685403.594530284
85.0,969944.0019402264,5624318.496915407,2846951.71689922,20683614.210582282
90.0,969932.7864784205,5624320.714300946,2846951.1573610636,20681829.1258534
95.0,969920.4906308701,5624323.725152904,2846949.3983097994,20680047.04060192
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20678269.232923828
105.0,969894.5178122438,5624332.363209778,2846941.1817719163,20676493.91207024
110.0,969881.8751741344,5624337.8950528335,2846934.560273795,20674721.976492405
115.0,969870.1195706854,5624344.038973613,2846926.4272941686,20672953.864633936
120.0,969859.6476896356,5624350.568657926,2846917.094792294,20671187.519324843
125.0,969850.7305606108,5624357.220030231,2846906.992145132,20669426.07965871
130.0,969843.4870245769,5624363.717103002,2846896.624117446,20667667.24873817
135.0,969837.8721000295,5624369.798992082,2846886.5214522113,20665912.70393097
140.0,969833.6813850128,5624375.245453557,2846877.1889177863,20664161.06411686
145.0,969830.5710644084,5624379.898442392,2846869.05589738,20662413.871729877
150.0,969828.0915643424,5624383.677582517,2846862.43435752,20660671.28285316
155.0,969825.7315595208,5624386.588034108,2846857.488310065,20658933.165134702
160.0,969822.9680256771,5624388.719987976,2846854.217757187,20657199.8953959
165.0,969819.3174374187,5624390.239836682,2846852.458691018,20655471.14297792
170.0,969814.3830995624,5624391.373886653,2846851.899148009,20653747.167628936
175.0,969807.8939785948,5624392.38620576,2846852.109746392,20652028.366976954
180.0,969799.7312330632,5624393.552774772,2846852.5857174015,20650313.353405625
185.0,969789.939846028,5624395.134472908,2846852.796315772,20648603.06062574
190.0,969778.7242211606,5624397.3515417455,2846852.236772778,20646895.968271077
195.0,969766.4281738804,5624400.362027071,2846850.4777063057,20645192.972127438
200.0,969753.501276383,5624404.24630879,2846847.2071514237,20643493.6664427
205.0,969740.4548510064,5624408.999233189,2846842.2610973865,20641798.31201579
210.0,969727.8119194737,5624414.530617677,2846835.63954202,20640105.266601067
215.0,969716.0560070329,5624420.674078554,2846827.506492081,20638415.302616127
220.0,969705.5838125369,5624427.203317796,2846818.1739095226,20636728.965706658
225.0,969696.6663771605,5624433.85427456,2846808.07117502,20635046.159858637
230.0,969689.422552724,5624440.350973132,2846797.703057701,20633366.706698403
235.0,969683.807366822,5624446.432537124,2846787.6003051237,20631691.11082092
240.0,969679.6164239476,5624451.878725582,2846778.2676900183,20630019.36696105
245.0,969676.5059121551,5624456.531491329,2846770.1345992996,20628351.635836054
250.0,969674.0262571523,5624460.310451274,2846763.5130021963,20626688.552570194
255.0,969671.666129678,5624463.220754362,2846758.5669119814,20625030.207770105
260.0,969668.9024983405,5624465.352577082,2846755.2963308287,20623375.788657375
265.0,969665.2518281577,5624466.872295965,2846753.537249453,20621726.232100468
270.0,969660.317412833,5624468.006201287,2846752.977701606,20620082.174505763
275.0,969653.8282073046,5624469.018346212,2846753.1883018096,20618441.858329322
280.0,969645.6653592648,5624470.1846996965,2846753.6642769338,20616806.47328038
285.0,969635.8738426759,5624471.766133191,2846753.874877125,20615175.09565567
290.0,969624.6580547598,5624473.982885322,2846753.315329295,20613548.18388058
295.0,969612.3618077636,5624476.993004004,2846751.556247615,20611924.468454707
300.0,969599.4346743015,5624480.876876172,2846748.2856644588,20610305.25354947
305.0,969586.3879806777,5624485.62935934,2846743.3395676618,20608688.67617144
310.0,969573.7447557412,5624491.160285242,2846736.7179550524,20607075.99036948
315.0,969561.9885343292,5624497.303286206,2846728.584834803,20605466.351706844
320.0,969551.5160264069,5624503.832080361,2846719.252171564,20603859.987533662
325.0,969542.5982846981,5624510.482621571,2846709.149349724,20602256.65378077
330.0,969535.3541718771,5624516.978945931,2846698.7811427717,20600657.12732553
335.0,969529.7387246359,5624523.060184823,2846688.678302858,20599061.960658547
340.0,969525.547553918,5624528.506100254,2846679.345607073,20597469.810104232
345.0,969522.4368509486,5624533.158642907,2846671.212446047,20595882.587219182
350.0,969519.9570410174,5624536.937422663,2846664.5907917004,20594299.17864219
355.0,969517.596790898,5624539.847577244,2846659.644658728,20592720.541669507
360.0,969514.8330620729,5624541.97926881,2846656.3740493017,20591146.32426479
365.0,969511.1823099707,5624543.498857868,2846654.6149527193,20589577.38915644
370.0,969506.2478171837,5624544.632618535,2846654.055400036,20588012.546709128
375.0,969499.7585271009,5624545.644589274,2846654.2660020594,20586453.238143533
380.0,969491.5955765608,5624546.810727227,2846654.7419812987,20584898.363124505
385.0,969481.8039304287,5624548.391896074,2846654.95258331,20583346.977707215
390.0,969470.5879794762,5624550.608331485,2846654.3930306425,20581800.42402691
395.0,969458.2915327791,5624553.618083515,2846652.633933756,20580256.95275175
400.0,969445.364163369,5624557.501546121,2846649.3633223264,20578717.205755915
405.0,969432.3172015159,5624562.253588047,2846644.417182772,20577181.724511273
410.0,969419.6736831956,5624567.7840553485,2846637.79551292,20575649.65637172
415.0,969407.9171528326,5624573.926596385,2846629.6623223634,20574120.577206884
420.0,969397.4443315044,5624580.454945439,2846620.3295784467,20572594.2093974
425.0,969388.5262834823,5624587.105071078,2846610.226669272,20571072.76582353
430.0,969381.2818822946,5624593.601021215,2846599.858372692,20569553.970301863
435.0,969375.6661737302,5624599.681934998,2846589.7554454445,20568038.64179707
440.0,969371.4747751821,5624605.12757739,2846580.4226689823,20566527.614234336
445.0,969368.3638810464,5624609.779896938,2846572.2894376493,20565021.189484224
450.0,969365.8839161964,5624613.5584964985,2846565.6677260627,20563518.45795037
455.0,969363.5235434396,5624616.468502567,2846560.721550334,20562020.910635
460.0,969360.7597171323,5624618.600062975,2846557.4509126362,20560527.569760654
465.0,969357.108883117,5624620.119522204,2846555.6918008467,20559038.8030273
470.0,969352.1743128732,5624621.253138213,2846555.1322433264,20557554.983718064
475.0,969345.6849382428,5624622.264934761,2846555.342847171,20556076.466290716
480.0,969337.5218852104,5624623.430857174,2846555.818830525,20554601.837259103
485.0,969327.730109545,5624625.011761369,2846556.0294343564,20553132.188195594
490.0,969316.5139955682,5624627.227880054,2846555.469876852,20551666.319251277
495.0,969304.2173491843,5624630.237265421,2846553.7107647583,20550204.652523525
500.0,969291.2897438435,5624634.120318455,2846550.440125057,20548745.5694971
505.0,969278.24251378,5624638.871919123,2846545.4939427464,20547291.30559982
510.0,969265.5987020954,5624644.401927813,2846538.872215655,20545839.6113536
515.0,969253.8418628016,5624650.544008906,2846530.7389547927,20544392.070272617
520.0,969243.3687280872,5624657.071912844,2846521.4061302016,20542947.825627945
525.0,969234.4503737714,5624663.721622899,2846511.303133695,20541506.82240965
530.0,969227.2056842349,5624670.2171988,2846500.9347474887,20540069.53302569
535.0,969221.5897143623,5624676.29778746,2846490.8317329106,20538636.29054187
540.0,969217.3980879978,5624681.743156802,2846481.4988757763,20537206.43930081
545.0,969214.287002708,5624686.395253238,2846473.3655741382,20535780.430050597
550.0,969211.8068829479,5624690.173672597,2846466.7438053126,20534359.779425982
555.0,969209.4463875608,5624693.0835301485,2846461.797586829,20532943.86571206
560.0,969206.6824637776,5624695.214959392,2846458.52692086,20531532.048664242
565.0,969203.0315478544,5624696.734288788,2846456.767793865,20530125.252755135
570.0,969198.0969001595,5624697.867760136,2846456.2082315073,20528723.167521
575.0,969191.6074409878,5624698.879382486,2846456.4188371724,20527325.235934995
580.0,969183.4442854716,5624700.045089357,2846456.8948246413,20525933.14627318
585.0,969173.6523802831,5624701.625728894,2846457.105430293,20524543.676973753
590.0,969162.4361032944,5624703.841530843,2846456.545867952,20523159.875606213
595.0,969150.1392572387,5624706.850549538,2846454.7867406523,20521779.433226537
600.0,969137.2114159832,5624710.733192988,2846451.51607268,20520402.710738637
605.0,969124.1639177285,5624715.484352388,2846446.569847615,20519029.53975298
610.0,969111.5198126987,5624721.01390245,2846439.948063286,20517660.87990179
615.0,969099.7626644948,5624727.155523583,2846431.8147321194,20516293.957126867
620.0,969089.2892164143,5624733.682982392,2846422.4818268567,20514932.587665282
625.0,969080.370555824,5624740.33227685,2846412.3787430217,20513573.495110065
630.0,969073.125577956,5624746.827478499,2846402.0102671944,20512217.926027317
635.0,969067.509346792,5624752.9077420235,2846391.9071652875,20510866.02237348
640.0,969063.3174926244,5624758.352838309,2846382.574227482,20509519.225062113
645.0,969060.2062161908,5624763.004711623,2846374.4408555427,20508176.052614335
650.0,969057.7259415302,5624766.782950773,2846367.8190294807,20506836.573226202
655.0,969055.36532352,5624769.692659799,2846362.872768244,20505502.82931616
660.0,969052.6013022672,5624771.823957878,2846359.602074004,20504173.054375295
665.0,969048.9503044414,5624773.343157435,2846357.842931805,20502847.949538197
670.0,969044.0155793013,5624774.476484118,2846357.28336461,20501527.765338868
675.0,969037.526035595,5624775.4879322685,2846357.493972095,20500213.004383583
680.0,969029.3627776031,5624776.6534235915,2846357.9699636777,20498902.015497282
685.0,969019.5707429014,5624778.233798461,2846358.1805711514,20497595.58611515
690.0,969008.354302913,5624780.449283666,2846357.6210039724,20496293.215975747
695.0,968996.0572571999,5624783.457935679,2846355.8618614683,20494995.72332965
700.0,968983.1291800471,5624787.340169533,2846352.591165225,20493701.57904319
705.0,968970.0814136188,5624792.090887651,2846347.6448974074,20492411.094304938
710.0,968957.4370152649,5624797.619979071,2846341.0230558417,20491124.008996017
715.0,968945.6795581705,5624803.761140235,2846332.889654375,20489840.427614897
720.0,968935.2057967443,5624810.288153897,2846323.5566684436,20488560.073854122
725.0,968926.286829898,5624816.9370327415,2846313.4534972827,20487283.73854699
730.0,968919.0415637168,5624823.431860128,2846303.0849318365,20486012.37001312
735.0,968913.4250712772,5624829.511798508,2846292.9817426037,20484742.732926916
740.0,968909.2329893194,5624834.956621722,2846283.6487241313,20483478.570850037
745.0,968906.1215217542,5624839.608271908,2846275.5152818924,20482217.24075717
750.0,968903.6410922016,5624843.386330841,2846268.8933985964,20480961.34936723
755.0,968901.2803515756,5624846.295891338,2846263.947094608,20479710.42676964
760.0,968898.5162328596,5624848.427058245,2846260.6763720983,20478463.323882803
765.0,968894.8651531369,5624849.946127961,2846258.917214694,20477220.86937325
770.0,968889.9303505571,5624851.079309975,2846258.357642663,20475982.947078947
775.0,968883.4407223228,5624852.090583923,2846258.568251969,20474750.76097253
780.0,968875.2773618632,5624853.255859689,2846259.044247665,20473523.02049341
785.0,968865.4851976584,5624854.835969887,2846259.254856958,20472299.154288244
790.0,968854.2685946828,5624857.051138341,2846258.6952849436,20471079.93190771
795.0,968841.9713493272,5624860.059423661,2846256.936127235,20469864.333384864
800.0,968829.043036293,5624863.941247908,2846253.6654027225,20468653.04074935
805.0,968815.99500171,5624868.69152473,2846248.719092153,20467445.958412375
810.0,968803.3503100509,5624874.220157495,2846242.0971933543,20466241.918510713
815.0,968791.5925440869,5624880.360858672,2846233.9637215887,20465041.616622057
820.0,968781.118469335,5624886.887427174,2846224.630654991,20463845.27964034
825.0,968772.1991962526,5624893.535890393,2846214.527396508,20462652.076726068
830.0,968764.953641776,5624900.030343504,2846204.158741445,20461462.54825482
835.0,968759.3368880756,5624906.109956725,2846194.0554648917,20460277.621127885
840.0,968755.1445783423,5624911.55450686,2846184.7223657533,20459095.27304866
845.0,968752.0329196558,5624916.205933907,2846176.5888532167,20457918.446623016
850.0,968749.5523352207,5624919.983812617,2846169.9669126887,20456745.183992416
855.0,968747.1914719859,5624922.893224578,2846165.02056595,20455577.192688245
860.0,968744.4272558128,5624925.0242603095,2846161.749815172,20454413.830319684
865.0,968740.7760941987,5624926.543200181,2846159.990642564,20453254.52930502
870.0,968735.8412141849,5624927.676237522,2846159.4310656963,20452100.632510502
875.0,968729.3515014296,5624928.687337262,2846159.6416768217,20450950.824758872
880.0,968721.1880385102,5624929.852397467,2846160.117676633,20449806.373753026
885.0,968711.3957448127,5624931.432242986,2846160.3282877463,20448665.95547
