t,X,Y,Z,p
0.0,970061.6227529576,5624250.967482469,2847045.047559735,20867978.1333131
5.0,970048.5768641313,5624255.721289291,2847040.10159122,20866251.562007967
10.0,970035.9345194657,5624261.253590906,2847033.4801503466,20864527.8308031
15.0,970024.179225028,5624267.397971568,2847025.347241037,20862807.666871242
20.0,970013.7076574449,5624273.928100939,2847016.014819847,20861091.366920214
25.0,970004.7908347913,5624280.579888772,2847005.9122600285,20859379.98906032
30.0,969997.5475871771,5624287.077335727,2846995.5443219817,20857672.3624213
35.0,969991.9329240004,5624293.159549882,2846985.4417440887,20855968.95933351
40.0,969987.7424368544,5624298.606284364,2846976.109290349,20854271.09552007
45.0,969984.6323074496,5624303.259496276,2846967.976340257,20852576.989183124
50.0,969982.15296233,5624307.038816578,2846961.354857643,20850887.95656174
55.0,969979.7930801676,5624309.9494166635,2846956.4088529483,20849204.4675478
60.0,969977.0296438242,5624312.081501677,2846953.1383283464,20847523.45977898
65.0,969973.3791374959,5624313.6014802,2846951.379277385,20845848.308383178
70.0,969968.4448771138,5624314.735674818,2846950.819739213,20844175.855698586
75.0,969961.9558407136,5624315.7481681015,2846951.030335775,20842507.118296992
80.0,969953.7931976984,5624316.914952639,2846951.5063026706,20840842.075156927
85.0,969944.0019402264,5624318.496915407,2846951.71689922,20839178.969176617
90.0,969932.7864784205,5624320.714300946,2846951.1573610636,20837520.32972922
95.0,969920.4906308701,5624323.725152904,2846949.3983097994,20835863.26394079
100.0,969907.5639693544,5624327.60984416,2846946.1277831923,20834210.53867748
105.0,969894.5178122438,5624332.363209778,2846941.1817719163,20832559.228045285
110.0,969881.8751741344,5624337.8950528335,2846934.560273795,20830912.632114254
115.0,969870.1195706854,5624344.038973613,2846926.4272941686,20829269.501960315
120.0,969859.6476896356,5624350.568657926,2846917.094792294,20827629.90987797
125.0,969850.7305606108,5624357.220030231,2846906.992145132,20825994.998103805
130.0,969843.4870245769,5624363.717103002,2846896.624117446,20824363.67736096
135.0,969837.8721000295,5624369.798992082,2846886.5214522113,20822737.30711811
140.0,969833.6813850128,5624375.245453557,2846877.1889177863,20821115.79856091
145.0,969830.5710644084,5624379.898442392,2846869.05589738,20819498.98567949
150.0,969828.0915643424,5624383.677582517,2846862.43435752,20817887.130908683
155.0,969825.7315595208,5624386.588034108,2846857.488310065,20816280.00360477
160.0,969822.9680256771,5624388.719987976,2846854.217757187,20814676.162224956
165.0,969819.3174374187,5624390.239836682,2846852.458691018,20813077.83274363
170.0,969814.3830995624,5624391.373886653,2846851.899148009,20811481.38010323
175.0,969807.8939785948,5624392.38620576,2846852.109746392,20809889.495962124
180.0,969799.7312330632,5624393.552774772,2846852.5857174015,20808301.299318716
185.0,969789.939846028,5624395.134472908,2846852.796315772,20806715.432104375
190.0,969778.7242211606,5624397.3515417455,2846852.236772778,20805133.110776447
